Date,Time,O3,CO,C6H6,SO2,NO2,NOx(GT),Pb,PM(2.5),PM(10),RH,AH,T
11/03/2007,21:00:00,1285,197,12.8,957,136,240,3.9,1707,1076,64.0,0.7419,9.1
11/03/2007,22:00:00,821,61,4.7,1325,85,94,1.5,1333,749,63.4,0.6905,8.2
11/03/2007,23:00:00,552,26,2.6,1565,53,47,1,1252,629,60.8,0.6657,8.2
12/03/2007,00:00:00,816,55,5.9,1254,97,122,1.7,1375,805,58.5,0.6438,8.3
12/03/2007,01:00:00,832,53,6.4,1247,110,133,1.9,1378,829,59.7,0.6308,7.7
12/03/2007,02:00:00,692,40,4.1,1396,91,82,1.4,1304,718,61.8,0.6276,7.1
12/03/2007,03:00:00,512,21,1.9,1680,-200,-200,0.8,1187,574,62.3,0.6261,7.0
12/03/2007,04:00:00,384,10,1.1,1893,32,21,-200,1134,506,65.9,0.6248,6.1
12/03/2007,05:00:00,394,7,1.0,1895,44,30,0.6,1155,501,65.0,0.6233,6.3
12/03/2007,06:00:00,487,17,1.8,1685,71,56,0.8,1223,571,62.9,0.6234,6.8
12/03/2007,07:00:00,748,33,4.4,1387,104,109,1.4,1361,730,65.1,0.6316,6.4
12/03/2007,08:00:00,1400,202,17.9,897,141,307,4.4,1900,1236,63.1,0.6499,7.3
12/03/2007,09:00:00,1588,-200,22.1,767,-200,-200,-200,2058,1353,56.2,0.6561,9.2
12/03/2007,10:00:00,1237,208,14.0,912,122,187,3.1,1712,1118,41.7,0.6320,13.2
12/03/2007,11:00:00,1167,166,11.6,969,143,216,2.7,1598,1037,38.4,0.6243,14.3
12/03/2007,12:00:00,959,114,10.2,1035,113,143,2.1,1537,986,36.5,0.6195,15.0
12/03/2007,13:00:00,983,140,11.0,1008,116,160,2.5,1593,1016,34.5,0.6262,16.1
12/03/2007,14:00:00,1061,169,12.8,949,123,163,2.7,1660,1078,35.7,0.6560,16.3
12/03/2007,15:00:00,1139,185,14.2,922,126,190,2.9,1740,1122,37.0,0.6610,15.8
12/03/2007,16:00:00,1112,165,12.7,954,120,178,2.8,1657,1073,37.2,0.6657,15.9
12/03/2007,17:00:00,994,133,11.7,1006,119,150,2.4,1610,1041,34.3,0.6549,16.9
12/03/2007,18:00:00,1410,233,19.3,812,149,206,3.9,1910,1277,39.6,0.6766,15.1
12/03/2007,19:00:00,1448,242,18.2,821,145,202,3.7,1847,1246,43.4,0.7084,14.4
12/03/2007,20:00:00,1887,488,32.6,624,170,340,6.6,2390,1610,50.5,0.7478,12.9
12/03/2007,21:00:00,1627,333,20.1,752,149,274,4.4,1941,1299,53.3,0.7536,12.1
12/03/2007,22:00:00,1491,215,14.3,839,139,253,3.5,1723,1127,59.1,0.7740,11.0
12/03/2007,23:00:00,1657,367,21.8,741,134,300,5.4,2062,1346,64.6,0.7771,9.7
13/03/2007,00:00:00,1285,122,9.6,963,113,193,2.7,1544,964,64.1,0.7597,9.5
13/03/2007,01:00:00,1144,67,7.4,1071,97,139,1.9,1463,873,63.9,0.7423,9.1
13/03/2007,02:00:00,1043,43,5.4,1176,82,83,1.6,1365,782,63.9,0.7256,8.8
13/03/2007,03:00:00,996,46,5.4,1179,-200,-200,1.7,1380,783,67.5,0.7173,7.8
13/03/2007,04:00:00,992,56,6.2,1132,83,109,-200,1412,821,71.1,0.7158,7.0
13/03/2007,05:00:00,819,30,2.6,1420,65,62,1,1274,625,63.6,0.6982,8.3
13/03/2007,06:00:00,835,27,2.9,1406,60,53,1.2,1268,646,67.5,0.6887,7.2
13/03/2007,07:00:00,940,47,5.1,1228,77,139,1.5,1409,770,71.9,0.6932,6.3
13/03/2007,08:00:00,1192,132,11.8,935,96,256,2.7,1678,1043,71.6,0.6945,6.5
13/03/2007,09:00:00,1411,239,15.1,830,119,295,3.7,1777,1153,59.7,0.7124,9.6
13/03/2007,10:00:00,1465,160,12.9,869,126,250,3.2,1667,1081,51.2,0.7335,12.4
13/03/2007,11:00:00,1583,283,16.1,808,158,296,4.1,1780,1184,42.2,0.7451,15.6
13/03/2007,12:00:00,1387,210,14.0,875,161,239,3.6,1679,1117,33.8,0.7090,18.4
13/03/2007,13:00:00,1101,154,12.3,987,124,153,2.8,1600,1059,31.3,0.6950,19.4
13/03/2007,14:00:00,850,112,8.6,1088,102,118,2,1488,924,34.8,0.7127,18.0
13/03/2007,15:00:00,947,108,9.2,1049,116,119,2,1532,947,33.6,0.7042,18.4
13/03/2007,16:00:00,1078,111,10.2,1004,124,138,2.5,1554,987,35.1,0.7012,17.6
13/03/2007,17:00:00,1084,97,10.6,976,125,148,2.3,1602,1000,37.8,0.7117,16.7
13/03/2007,18:00:00,1395,191,15.5,831,148,227,3.2,1779,1163,41.0,0.7451,16.1
13/03/2007,19:00:00,1612,258,19.6,758,165,277,4.2,1922,1286,42.4,0.7569,15.8
13/03/2007,20:00:00,1697,284,19.2,754,161,279,4.2,1915,1274,44.1,0.7786,15.7
13/03/2007,21:00:00,1886,269,18.3,762,159,283,4.2,1860,1247,46.8,0.8091,15.3
13/03/2007,22:00:00,1624,180,13.1,844,143,214,3.1,1748,1089,48.6,0.8060,14.6
13/03/2007,23:00:00,1536,116,10.9,892,130,172,2.6,1603,1010,49.3,0.8193,14.7
14/03/2007,00:00:00,1535,93,11.0,889,129,190,2.9,1611,1013,53.6,0.8498,13.9
14/03/2007,01:00:00,1530,131,11.9,880,119,174,2.8,1624,1045,51.5,0.8536,14.6
14/03/2007,02:00:00,1337,92,8.6,953,104,128,2.5,1543,925,58.9,0.8537,12.5
14/03/2007,03:00:00,1278,132,9.7,921,-200,-200,2.4,1620,968,63.4,0.8674,11.6
14/03/2007,04:00:00,1051,56,5.2,1130,82,70,-200,1452,773,61.1,0.8603,12.1
14/03/2007,05:00:00,929,32,3.7,1272,70,53,1.2,1377,691,63.1,0.8533,11.5
14/03/2007,06:00:00,872,29,2.5,1395,63,44,1,1333,618,62.2,0.8473,11.6
14/03/2007,07:00:00,853,27,2.4,1384,67,74,0.9,1340,615,67.6,0.8530,10.4
14/03/2007,08:00:00,959,36,4.2,1225,84,101,1.4,1414,722,62.7,0.8530,11.6
14/03/2007,09:00:00,1093,57,6.4,1055,83,118,1.6,1527,828,60.0,0.8627,12.4
14/03/2007,10:00:00,1225,129,8.6,952,98,144,2.2,1614,923,53.1,0.8728,14.5
14/03/2007,11:00:00,1355,148,10.9,878,114,176,2.8,1696,1009,46.1,0.8789,16.9
14/03/2007,12:00:00,1262,145,10.7,907,119,161,2.8,1677,1002,38.3,0.8474,19.3
14/03/2007,13:00:00,980,93,7.5,1084,104,113,2,1525,880,31.4,0.7812,21.2
14/03/2007,14:00:00,872,84,7.5,1104,102,103,1.8,1490,879,30.2,0.7616,21.4
14/03/2007,15:00:00,900,99,8.2,1081,107,112,1.9,1511,906,29.0,0.7525,21.9
14/03/2007,16:00:00,1099,150,11.9,974,129,170,3,1646,1045,28.4,0.7516,22.2
14/03/2007,17:00:00,1206,156,12.0,943,128,180,2.9,1668,1051,30.8,0.7696,21.3
14/03/2007,18:00:00,1262,122,12.2,929,121,160,2.5,1671,1055,36.7,0.8307,19.7
14/03/2007,19:00:00,1698,262,20.6,753,157,261,4.6,1993,1312,41.7,0.8732,18.4
14/03/2007,20:00:00,1905,341,23.1,681,173,325,5.9,2103,1381,46.1,0.9210,17.6
14/03/2007,21:00:00,1648,214,14.7,784,146,217,3.4,1818,1140,49.6,0.9320,16.7
14/03/2007,22:00:00,1423,100,9.0,924,121,146,2.1,1587,940,51.0,0.9341,16.3
14/03/2007,23:00:00,1349,79,8.8,933,119,152,2.2,1617,933,55.9,0.9314,14.7
15/03/2007,00:00:00,1250,66,7.4,985,99,104,1.8,1547,872,54.7,0.9164,14.8
15/03/2007,01:00:00,1174,73,6.9,1010,93,106,1.8,1543,853,57.0,0.9094,14.0
15/03/2007,02:00:00,1149,66,7.0,998,88,108,1.8,1566,855,61.3,0.9361,13.4
15/03/2007,03:00:00,1021,44,4.4,1128,-200,-200,1.1,1487,734,63.5,0.9230,12.6
15/03/2007,04:00:00,1013,44,4.0,1150,71,66,-200,1468,711,65.4,0.9351,12.3
15/03/2007,05:00:00,1010,39,3.9,1156,74,88,1,1464,703,67.4,0.9375,11.9
15/03/2007,06:00:00,1083,51,6.4,1030,80,138,1.4,1584,830,70.5,0.9475,11.4
15/03/2007,07:00:00,1235,107,9.7,897,89,228,2.2,1710,966,70.2,0.9401,11.3
15/03/2007,08:00:00,1680,336,25.9,652,114,360,5.5,2323,1451,63.9,0.9170,12.4
15/03/2007,09:00:00,2184,618,36.7,537,149,478,8.1,2665,1701,54.3,0.9076,14.8
15/03/2007,10:00:00,1973,438,26.6,622,157,394,5.8,2262,1470,45.6,0.8993,17.4
15/03/2007,11:00:00,1798,334,20.1,710,155,319,4.2,2029,1300,38.5,0.8801,19.8
15/03/2007,12:00:00,1522,221,14.1,831,134,201,3.1,1783,1120,34.1,0.8904,22.0
15/03/2007,13:00:00,1404,207,14.9,830,119,171,2.9,1831,1146,32.2,0.9096,23.3
15/03/2007,14:00:00,1263,191,15.4,838,111,159,2.9,1829,1162,30.0,0.8757,23.9
15/03/2007,15:00:00,1137,185,12.1,926,104,153,2.5,1707,1053,28.9,0.8736,24.4
15/03/2007,16:00:00,1068,141,11.5,950,99,143,2.3,1675,1033,29.4,0.8848,24.4
15/03/2007,17:00:00,1252,214,14.8,857,110,156,2.8,1824,1141,31.3,0.9137,23.8
15/03/2007,18:00:00,1843,471,32.1,631,162,314,6.1,2447,1601,35.4,0.9547,22.5
15/03/2007,19:00:00,2122,685,39.2,542,187,404,8,2679,1754,42.5,1.0086,20.4
15/03/2007,20:00:00,1992,538,31.0,565,165,320,6.5,2443,1573,52.6,1.0945,18.3
15/03/2007,21:00:00,1707,319,19.9,678,145,256,4.2,2058,1294,57.4,1.0786,16.7
15/03/2007,22:00:00,1494,224,15.3,764,125,193,3.2,1856,1159,60.2,1.0654,15.7
15/03/2007,23:00:00,1164,67,6.9,1008,101,89,1.4,1547,852,61.4,1.0580,15.3
16/03/2007,00:00:00,1272,155,11.1,852,103,127,2.1,1731,1019,65.7,1.0494,14.1
16/03/2007,01:00:00,1040,49,5.4,1098,88,79,1.2,1483,784,60.6,1.0148,14.8
16/03/2007,02:00:00,867,29,2.8,1320,61,43,0.8,1386,640,59.2,0.9879,14.8
16/03/2007,03:00:00,826,25,2.3,1376,-200,-200,0.7,1364,608,62.1,0.9636,13.6
16/03/2007,04:00:00,840,25,2.6,1316,59,59,-200,1373,626,66.2,0.9450,12.3
16/03/2007,05:00:00,793,17,2.0,1412,52,38,0.6,1348,585,63.2,0.9283,12.8
16/03/2007,06:00:00,870,27,3.5,1246,64,82,0.9,1418,681,68.5,0.9081,11.2
16/03/2007,07:00:00,930,50,5.1,1162,70,99,1.3,1467,770,66.5,0.8705,11.0
16/03/2007,08:00:00,1407,218,16.2,770,97,263,3.4,1889,1185,63.7,0.8719,11.7
16/03/2007,09:00:00,1507,285,19.7,698,95,229,3.7,2055,1287,56.3,0.8743,13.6
16/03/2007,10:00:00,1843,437,25.1,628,150,396,5.3,2211,1431,42.9,0.8672,17.8
16/03/2007,11:00:00,1729,327,20.0,730,162,314,4.1,1973,1297,33.3,0.8417,21.4
16/03/2007,12:00:00,1583,283,18.3,776,154,217,3.3,1868,1250,27.4,0.8231,24.4
16/03/2007,13:00:00,1671,366,22.3,724,161,252,4,1998,1359,26.1,0.8264,25.3
16/03/2007,14:00:00,1491,318,20.4,773,161,263,3.8,1897,1309,23.2,0.7589,25.8
16/03/2007,15:00:00,1240,228,14.6,893,128,180,2.8,1675,1136,20.2,0.7094,27.0
16/03/2007,16:00:00,1313,201,16.6,905,129,184,2.9,1759,1197,18.6,0.7014,28.2
16/03/2007,17:00:00,1363,199,15.8,898,133,190,2.9,1739,1173,19.1,0.7098,28.0
16/03/2007,18:00:00,1296,237,17.8,859,139,184,3.4,1778,1235,25.7,0.7519,23.9
16/03/2007,19:00:00,1432,261,19.1,800,137,181,3.9,1875,1271,34.8,0.8730,21.3
16/03/2007,20:00:00,1432,230,15.8,854,143,166,3.2,1776,1173,36.7,0.8704,20.4
16/03/2007,21:00:00,2034,349,24.9,700,177,317,5.1,2106,1426,41.3,0.9007,19.0
16/03/2007,22:00:00,1602,183,13.5,818,138,184,2.6,1710,1101,45.9,0.9342,17.9
16/03/2007,23:00:00,1362,88,9.1,935,117,130,1.7,1560,943,48.9,0.9226,16.7
17/03/2007,00:00:00,1314,85,8.6,922,107,132,1.7,1547,925,52.9,0.9271,15.5
17/03/2007,01:00:00,1114,47,5.4,1066,90,95,1.2,1442,784,51.9,0.9059,15.5
17/03/2007,02:00:00,992,34,4.1,1169,79,70,0.9,1383,714,55.6,0.8910,14.1
17/03/2007,03:00:00,884,26,2.6,1292,-200,-200,0.7,1332,625,57.9,0.8666,13.1
17/03/2007,04:00:00,808,17,1.9,1396,60,54,-200,1303,577,57.9,0.8447,12.7
17/03/2007,05:00:00,667,11,1.6,1460,40,28,0.5,1268,554,58.0,0.8026,11.8
17/03/2007,06:00:00,733,18,1.9,1417,53,46,0.5,1289,576,57.4,0.7978,11.9
17/03/2007,07:00:00,1052,84,7.5,1038,84,160,1.6,1556,878,65.2,0.7956,9.9
17/03/2007,08:00:00,1534,260,21.4,702,108,320,4.1,1999,1334,60.2,0.7958,11.1
17/03/2007,09:00:00,1931,534,36.4,553,127,377,6.6,2535,1696,50.0,0.8020,14.1
17/03/2007,10:00:00,1734,368,21.3,703,134,280,4.3,2026,1331,40.1,0.8048,17.7
17/03/2007,11:00:00,1595,200,15.4,819,135,221,2.9,1782,1161,33.4,0.8265,21.1
17/03/2007,12:00:00,1490,145,12.5,905,142,210,2.5,1654,1067,28.3,0.8471,24.3
17/03/2007,13:00:00,1508,188,15.1,861,153,204,2.8,1747,1152,25.6,0.8254,25.6
17/03/2007,14:00:00,1334,152,13.7,887,123,161,2.6,1712,1108,25.9,0.8503,25.9
17/03/2007,15:00:00,1045,103,10.4,1013,104,135,2,1520,994,18.7,0.6500,26.8
17/03/2007,16:00:00,1221,193,15.2,940,129,186,2.9,1679,1154,15.8,0.6309,29.3
17/03/2007,17:00:00,1069,134,12.3,1032,114,147,2.5,1525,1060,14.9,0.5708,28.5
17/03/2007,18:00:00,1569,386,27.0,793,158,299,5,1981,1478,16.0,0.5237,25.9
17/03/2007,19:00:00,2306,577,38.4,617,194,411,7.6,2414,1737,26.5,0.7403,23.1
17/03/2007,20:00:00,2359,523,35.1,597,182,347,6.7,2416,1667,38.2,0.9133,20.5
17/03/2007,21:00:00,2050,472,27.2,653,180,336,5.7,2174,1485,42.6,0.9294,19.1
17/03/2007,22:00:00,1727,206,15.0,770,136,202,2.8,1727,1150,44.1,0.8558,17.2
17/03/2007,23:00:00,1705,216,15.7,731,127,178,2.6,1778,1171,50.9,0.9206,16.0
18/03/2007,00:00:00,1551,159,13.0,796,116,154,2.3,1669,1083,53.9,0.9024,14.8
18/03/2007,01:00:00,1240,70,8.1,947,107,92,1.4,1502,904,55.4,0.8975,14.3
18/03/2007,02:00:00,1115,44,5.5,1057,88,61,1,1407,787,52.1,0.8686,14.8
18/03/2007,03:00:00,969,42,3.6,1196,-200,-200,0.7,1351,687,53.9,0.8501,13.9
18/03/2007,04:00:00,925,28,2.9,1260,78,60,-200,1334,645,61.9,0.8442,11.6
18/03/2007,05:00:00,828,20,2.5,1293,57,37,0.6,1307,623,58.9,0.8233,12.0
18/03/2007,06:00:00,893,26,3.0,1251,71,68,0.7,1333,650,62.1,0.8113,10.9
18/03/2007,07:00:00,1075,78,7.7,1005,85,139,1.5,1551,885,63.3,0.8067,10.6
18/03/2007,08:00:00,1610,319,23.3,667,124,339,4.7,2094,1384,60.0,0.8117,11.5
18/03/2007,09:00:00,2051,506,35.8,541,151,421,6.6,2468,1682,50.6,0.8186,14.3
18/03/2007,10:00:00,1819,-200,21.3,686,150,349,4.5,2010,1333,40.5,0.8210,17.8
18/03/2007,11:00:00,1568,-200,14.3,831,152,224,2.8,1752,1127,34.4,0.8365,20.8
18/03/2007,12:00:00,1374,-200,12.5,899,139,171,2.2,1663,1068,28.2,0.8219,23.8
18/03/2007,13:00:00,1268,-200,12.2,891,133,149,2.2,1648,1056,28.7,0.8515,24.2
18/03/2007,14:00:00,1144,-200,13.1,901,126,137,2.3,1660,1087,24.9,0.7829,25.2
18/03/2007,15:00:00,1109,-200,14.4,934,128,149,2.2,1639,1129,17.8,0.6275,27.0
18/03/2007,16:00:00,1347,-200,16.8,822,169,172,2.8,1767,1205,23.1,0.8180,27.1
18/03/2007,17:00:00,1206,-200,14.5,873,149,166,2.7,1689,1131,23.9,0.7832,25.8
18/03/2007,18:00:00,1397,-200,21.5,764,156,214,3.7,1957,1338,26.8,0.7446,23.0
18/03/2007,19:00:00,1588,-200,26.4,683,168,280,5.1,2118,1464,31.1,0.7523,20.7
18/03/2007,20:00:00,1569,-200,26.0,684,176,276,5.1,2051,1453,36.2,0.7676,18.6
18/03/2007,21:00:00,1322,-200,14.1,814,135,178,3.2,1732,1121,48.4,0.8768,16.0
18/03/2007,22:00:00,1194,-200,10.3,885,121,129,2.1,1621,989,57.8,0.9456,14.5
18/03/2007,23:00:00,1062,-200,8.3,948,99,95,1.7,1545,911,64.2,0.9606,13.1
19/03/2007,00:00:00,1040,-200,8.9,918,106,126,2,1606,936,69.7,0.9735,12.0
19/03/2007,01:00:00,917,-200,6.6,1021,96,103,1.6,1501,840,71.1,0.9915,11.9
19/03/2007,02:00:00,594,-200,3.6,1229,63,48,0.9,1380,688,69.3,1.0029,12.5
19/03/2007,03:00:00,430,-200,2.5,1382,-200,-200,0.7,1301,622,67.5,0.9768,12.5
19/03/2007,04:00:00,397,-200,1.8,1440,32,20,-200,1280,569,67.7,0.9665,12.3
19/03/2007,05:00:00,370,-200,1.3,1620,28,18,0.5,1260,525,66.8,0.9620,12.5
19/03/2007,06:00:00,438,-200,2.3,1373,61,56,0.7,1324,607,66.3,0.9487,12.3
19/03/2007,07:00:00,704,-200,6.7,1054,99,115,1.5,1539,845,64.9,0.9332,12.4
19/03/2007,08:00:00,1476,-200,22.8,671,157,320,4.8,2144,1372,61.6,0.9209,13.0
19/03/2007,09:00:00,1716,-200,31.3,575,166,357,6.2,2456,1582,58.8,0.9120,13.6
19/03/2007,10:00:00,1398,-200,19.2,701,149,253,4,1980,1275,57.1,0.9032,13.9
19/03/2007,11:00:00,1268,-200,16.4,759,135,218,3.3,1879,1191,54.4,0.8917,14.5
19/03/2007,12:00:00,1188,-200,14.0,813,127,192,2.8,1751,1117,50.1,0.8744,15.5
19/03/2007,13:00:00,1171,-200,15.3,793,122,176,3,1801,1157,47.6,0.8655,16.1
19/03/2007,14:00:00,1250,-200,16.7,771,135,198,3.3,1875,1202,47.1,0.8640,16.3
19/03/2007,15:00:00,1344,-200,19.0,724,139,212,3.5,1957,1268,47.5,0.8791,16.4
19/03/2007,16:00:00,1378,-200,19.4,708,147,249,4,1955,1280,50.2,0.9094,16.1
19/03/2007,17:00:00,1435,-200,20.9,690,158,270,4.6,2005,1320,50.7,0.9142,16.0
19/03/2007,18:00:00,1372,-200,20.2,704,146,231,4.1,1952,1301,50.3,0.8989,15.8
19/03/2007,19:00:00,1471,-200,21.7,677,144,251,4.5,1997,1344,50.6,0.8840,15.5
19/03/2007,20:00:00,1439,-200,19.8,698,138,210,3.9,1942,1292,51.4,0.8956,15.4
19/03/2007,21:00:00,1429,-200,16.7,748,143,249,4,1854,1202,53.1,0.9117,15.2
19/03/2007,22:00:00,1081,-200,9.1,904,116,143,2.2,1604,945,57.6,0.9573,14.7
19/03/2007,23:00:00,993,-200,8.3,948,109,127,2.1,1547,912,58.3,0.9380,14.2
20/03/2007,00:00:00,837,-200,5.8,1064,92,104,1.7,1447,802,57.9,0.9085,13.8
20/03/2007,01:00:00,761,-200,5.2,1105,83,86,1.6,1429,773,55.9,0.8842,13.9
20/03/2007,02:00:00,650,-200,4.1,1182,81,74,1.3,1382,718,55.6,0.8765,13.9
20/03/2007,03:00:00,591,-200,3.4,1252,-200,-200,1.3,1359,677,55.1,0.8666,13.8
20/03/2007,04:00:00,505,-200,2.9,1308,55,44,-200,1332,646,54.6,0.8574,13.8
20/03/2007,05:00:00,518,-200,3.1,1260,53,42,0.8,1351,661,55.1,0.8560,13.6
20/03/2007,06:00:00,571,-200,2.5,1317,67,63,0.8,1342,622,59.0,0.9129,13.6
20/03/2007,07:00:00,842,-200,4.3,1161,91,115,1.1,1461,728,58.4,0.8960,13.5
20/03/2007,08:00:00,1145,-200,8.9,902,113,170,2.1,1623,935,58.0,0.9083,13.8
20/03/2007,09:00:00,1218,-200,10.5,834,102,147,2.4,1689,998,53.1,0.8765,14.6
20/03/2007,10:00:00,1341,-200,12.5,776,107,166,2.6,1764,1068,52.3,0.8881,15.0
20/03/2007,11:00:00,1406,-200,12.3,768,113,195,2.8,1768,1061,52.1,0.9046,15.4
20/03/2007,12:00:00,1422,-200,11.7,782,108,182,2.6,1757,1039,50.0,0.9158,16.3
20/03/2007,13:00:00,1373,-200,11.7,809,105,168,2.6,1735,1040,47.9,0.9281,17.1
20/03/2007,14:00:00,1153,-200,9.3,900,93,125,2.1,1636,953,42.9,0.9370,19.0
20/03/2007,15:00:00,927,-200,7.6,980,87,95,1.7,1573,884,42.3,0.9476,19.5
20/03/2007,16:00:00,766,-200,6.7,1036,76,79,1.6,1539,844,42.3,0.9493,19.5
20/03/2007,17:00:00,941,-200,9.7,930,94,119,2.1,1649,967,43.8,0.9556,19.1
20/03/2007,18:00:00,1146,-200,12.4,856,110,142,2.3,1774,1063,46.3,0.9744,18.5
20/03/2007,19:00:00,1417,-200,16.6,734,136,215,3.5,1919,1199,51.6,1.0159,17.4
20/03/2007,20:00:00,1442,-200,16.4,733,139,229,3.9,1885,1191,51.3,0.9914,17.1
20/03/2007,21:00:00,1323,-200,13.7,785,125,206,3.3,1820,1108,53.8,0.9964,16.4
20/03/2007,22:00:00,1125,-200,9.9,864,111,147,2.3,1712,973,55.4,1.0132,16.2
20/03/2007,23:00:00,1036,-200,8.9,905,97,122,2.1,1672,937,57.7,1.0356,15.9
21/03/2007,00:00:00,1202,-200,10.6,835,107,175,2.8,1714,999,58.6,1.0396,15.7
21/03/2007,01:00:00,1054,-200,7.4,941,90,133,2.1,1577,872,60.9,1.0398,15.1
21/03/2007,02:00:00,903,-200,6.2,1004,84,89,1.6,1526,823,56.6,0.9951,15.6
21/03/2007,03:00:00,885,-200,6.5,987,-200,-200,1.6,1554,836,57.9,0.9941,15.2
21/03/2007,04:00:00,818,-200,5.8,1029,87,85,-200,1539,802,57.8,1.0021,15.4
21/03/2007,05:00:00,700,-200,4.0,1136,66,55,1.1,1461,711,60.6,1.0196,14.9
21/03/2007,06:00:00,580,-200,2.1,1300,36,24,0.7,1390,594,63.0,1.0316,14.5
21/03/2007,07:00:00,815,-200,3.6,1143,62,72,0.8,1492,687,66.2,1.0630,14.2
21/03/2007,08:00:00,1035,-200,4.4,1062,91,122,1.2,1528,734,65.3,1.0704,14.5
21/03/2007,09:00:00,1067,-200,5.4,996,89,111,1.4,1560,782,62.1,1.0730,15.3
21/03/2007,10:00:00,1114,-200,7.1,914,93,123,1.7,1633,862,59.0,1.0868,16.3
21/03/2007,11:00:00,1000,-200,7.3,911,81,106,1.8,1646,870,49.6,1.0700,18.9
21/03/2007,12:00:00,906,-200,7.6,953,82,103,1.8,1617,883,46.1,1.0249,19.4
21/03/2007,13:00:00,822,-200,6.8,981,80,102,1.9,1568,848,41.6,1.0091,20.8
21/03/2007,14:00:00,610,-200,4.6,1144,48,48,1.3,1507,742,40.3,1.0126,21.4
21/03/2007,15:00:00,657,-200,8.4,962,61,63,1.6,1669,916,39.3,0.9791,21.2
21/03/2007,16:00:00,647,-200,6.9,1060,89,98,1.9,1506,853,38.0,0.8942,20.3
21/03/2007,17:00:00,762,-200,9.0,961,105,132,2.3,1607,938,41.3,0.9206,19.4
21/03/2007,18:00:00,1122,-200,15.1,769,116,173,3.8,1874,1151,43.8,0.9252,18.5
21/03/2007,19:00:00,1130,-200,12.6,823,119,185,3.5,1744,1071,48.1,0.9689,17.8
21/03/2007,20:00:00,1637,-200,15.1,769,144,266,4.3,1840,1153,46.9,0.9520,17.9
21/03/2007,21:00:00,1272,-200,9.9,883,123,188,2.8,1673,974,49.1,0.9688,17.4
21/03/2007,22:00:00,1098,-200,8.0,933,105,122,1.9,1594,898,51.7,0.9914,17.0
21/03/2007,23:00:00,1066,-200,7.9,920,93,112,1.9,1624,896,55.1,1.0198,16.4
22/03/2007,00:00:00,909,-200,6.1,995,86,93,1.7,1582,815,60.0,1.0919,16.1
22/03/2007,01:00:00,818,-200,5.1,1050,76,74,1.5,1547,767,60.5,1.0805,15.8
22/03/2007,02:00:00,472,-200,1.7,1417,33,23,0.6,1355,563,57.0,1.0491,16.3
